timeago,scale,city,region
"
      2022-07-05 16:29:50 UTC
    ",4.1 magnitude,Pyay,Bago
"
      2022-07-03 02:26:13 UTC
    ",5.1 magnitude,Myaydo,Magway
"
      2022-06-29 18:01:58 UTC
    ",4.6 magnitude,Mawlaik,Sagain
"
      2022-06-25 00:47:29 UTC
    ",4.0 magnitude,Chauk,Magway
"
      2022-06-13 15:44:41 UTC
    ",4.3 magnitude,Mawlaik,Sagain
"
      2022-06-02 22:40:29 UTC
    ",4.2 magnitude,Mogok,Mandalay
"
      2022-06-02 03:25:38 UTC
    ",4.3 magnitude,Pathein,Ayeyarwady
"
      2022-06-01 16:43:15 UTC
    ",5.2 magnitude,Pathein,Ayeyarwady
"
      2022-05-21 03:14:07 UTC
    ",4.5 magnitude,Falam,Chin
"
      2022-05-20 18:39:20 UTC
    ",4.3 magnitude,Myitkyina,Kachin
"
      2022-05-17 23:50:01 UTC
    ",4.4 magnitude,Taunggyi,Shan
"
      2022-05-17 22:49:55 UTC
    ",4.2 magnitude,Taunggyi,Shan
"
      2022-05-13 12:26:08 UTC
    ",4.2 magnitude,Myitkyina,Kachin
"
      2022-05-13 07:09:30 UTC
    ",4.3 magnitude,Myitkyina,Kachin
"
      2022-05-01 15:15:40 UTC
    ",4.9 magnitude,Falam,Chin
"
      2022-04-16 23:51:26 UTC
    ",4.0 magnitude,Phek,Manipur
"
      2022-04-10 00:06:16 UTC
    ",4.4 magnitude,Taunggyi,Shan
"
      2022-03-31 01:18:26 UTC
    ",4.0 magnitude,Falam,Chin
"
      2022-03-21 06:36:04 UTC
    ",4.5 magnitude,Mawlaik,Sagain
"
      2022-03-15 00:25:52 UTC
    ",4.1 magnitude,Falam,Chin
"
      2022-03-13 01:11:03 UTC
    ",4.5 magnitude,Monywa,Sagain
"
      2022-02-28 07:54:41 UTC
    ",4.3 magnitude,Sagaing,Sagain
"
      2022-02-21 15:23:43 UTC
    ",4.6 magnitude,Hakha,Chin
"
      2022-02-11 19:16:50 UTC
    ",4.9 magnitude,Myitkyina,Kachin
"
      2022-01-21 10:12:31 UTC
    ",5.4 magnitude,Falam,Chin
"
      2022-01-18 02:22:16 UTC
    ",4.4 magnitude,Churāchāndpur,Manipur
"
      2022-01-14 08:29:06 UTC
    ",4.1 magnitude,Wāngjing,Manipur
"
      2022-01-12 20:46:59 UTC
    ",4.6 magnitude,Kohima,Nagaland
"
      2021-12-27 20:13:14 UTC
    ",4.7 magnitude,Falam,Chin
"
      2021-12-24 12:47:29 UTC
    ",4.2 magnitude,Pyu,Bago
